iso3c,year,gdppc,tax_gdp,pop
KHM,2023,2429.74853452838,12.203542053066,17423880
KHM,2015,1547.32010444393,10.8884929321084,15623251
KHM,2013,1305.6600972686,9.28638425469543,15170208
KHM,2016,1675.19555711109,11.1748765236774,15852803
KHM,2022,2325.03050040841,13.5187383949089,17201724
KHM,2021,2167.40324198499,11.9927698915381,16974305
KHM,2020,2081.73914242939,13.2902084670658,16725474
KHM,2012,1192.80263041673,8.73743328155956,14945085
KHM,2018,2036.67377566578,12.6410723071222,16274522
KHM,2019,2225.87705485686,14.5706459641918,16481304
KHM,2024,2627.87969756224,NA,17638801
KHM,2017,1826.35391688754,11.9278366151763,16073372
CMR,2018,1610.69641591017,12.3469457080062,24806383
CMR,2024,1830.00833684727,NA,29123744
CMR,2016,1441.7201725688,11.6520313878748,23454161
CMR,2017,1496.08951771242,11.8759411884958,24128601
CMR,2014,1649.4433905949,12.285343811226,22059893
CMR,2019,1555.22660476477,12.0282727609789,25506095
CMR,2015,1415.00009710569,12.1109695914613,22763414
CMR,2023,1720.47510154506,NA,28372687
CMR,2020,1555.60370660749,10.8705828069932,26210558
CMR,2012,1449.09874362279,11.3444056049257,20809529
CMR,2013,1575.92882118897,11.5221169764532,21402376
CMR,2022,1604.87726954895,NA,27632771
CMR,2021,1672.32657340872,11.3415157268484,26915758
CAN,2018,46539.1761570405,13.0576846693075,37072620
CAN,2017,45129.628116623,12.6120166809848,36545075
CAN,2016,42314.0615817218,12.496562633144,36110803
CAN,2022,56256.8007264015,13.736451836938,38935934
CAN,2012,52670.3447335415,11.6644273631038,34713395
CAN,2019,46352.8693445211,12.7416889014909,37618495
CAN,2020,43537.839298904,13.5185987464231,38028638
CAN,2015,43594.1941045394,12.3898109063213,35704498
CAN,2013,52638.1187235237,11.6235045990299,35080992
CAN,2014,50960.8431174661,11.8083790792206,35434066
CAN,2021,52886.6616372703,13.996294680919,38239864
CAN,2023,54220.3285039875,14.089801316377,40083484
CAN,2024,54340.3477224733,14.2302331833719,41288599
CYM,2016,77802.2535658023,NA,63100
CYM,2017,80053.9442657031,NA,64535
CYM,2018,83865.5540393356,NA,65941
CYM,2013,75113.7342282813,NA,58655
CYM,2014,75845.3055572577,NA,60160
CYM,2023,99143.5180243123,NA,73038
CYM,2015,76379.2098777987,NA,61642
CYM,2019,88254.2902486867,NA,67327
CYM,2024,NA,NA,74457
CYM,2020,82338.7977439023,NA,68684
CYM,2012,75101.5906883232,NA,57136
CYM,2022,93030.7051447803,NA,71591
CYM,2021,86449.6749037302,NA,70108
CAF,2020,462.879071294011,8.70964482990026,5026628
CAF,2019,449.228467602439,8.31845804130232,4944703
CAF,2017,432.324025684263,7.08124424926288,4793511
CAF,2015,366.322853938121,5.44899138532923,4629320
CAF,2016,387.176203444318,6.80758893719557,4713663
CAF,2012,544.395849142785,8.17237728051962,4610848
CAF,2018,455.243962859534,8.6398307197834,4878657
CAF,2021,492.263142830507,8.20629230003801,5112100
CAF,2022,467.359825026238,NA,5098039
CAF,2023,495.978897288721,NA,5152421
CAF,2013,364.36696260838,NA,4642419
CAF,2014,409.8504859647,4.09850069582654,4623182
CAF,2024,516.160999996036,NA,5330690
TCD,2019,893.336441643325,NA,16685223
TCD,2017,854.46120040098,NA,15622759
TCD,2018,948.656629871231,NA,16156531
TCD,2013,1304.88742971475,NA,13691079
TCD,2015,993.990730610869,NA,14647621
TCD,2014,1278.78981422494,NA,14188678
TCD,2022,966.036468278568,NA,18455316
TCD,2020,866.947814890409,NA,17224679
TCD,2012,1354.34344701937,NA,13210998
TCD,2024,961.55975562506,NA,20299123
TCD,2016,861.831767630746,NA,15114655
TCD,2023,949.333453674592,NA,19319064
TCD,2021,946.358500208374,NA,17828273
CHI,2022,67627.1417347907,NA,167215
CHI,2016,55947.579811974,NA,163883
CHI,2020,56785.9402005039,NA,166235
CHI,2019,60564.6293993681,NA,165639
CHI,2014,64697.5485024325,NA,162726
CHI,2015,61847.8212238857,NA,163454
CHI,2013,59308.4666588674,NA,161777
CHI,2021,66915.3963925722,NA,166741
CHI,2023,74585.5224096294,NA,167691
CHI,2024,NA,NA,168126
CHI,2012,58809.5698945413,NA,160767
CHI,2017,55806.3554257428,NA,164319
CHI,2018,60784.8125397162,NA,164949
CHL,2017,14879.9086227187,17.5057946834574,18558868
