Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Tanzania,TZA,Government Effectiveness: Estimate,GE.EST,-0.620883345603943,-0.660571336746216,-0.70156067609787,-0.712978959083557,-0.657758951187134,-0.653441548347473,-0.606901288032532,-0.682187914848328,-0.779476463794708,-0.854386746883392,-0.73927241563797,-0.648341059684753,-0.460365831851959,-0.455080926418304
Tanzania,TZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0144716212525964,-0.0241334792226553,0.0514542907476425,-0.162120848894119,-0.597118556499481,-0.423460692167282,-0.448246777057648,-0.570162117481232,-0.580475687980652,-0.388420015573502,-0.480807662010193,-0.33555868268013,-0.260344117879868,-0.0527516007423401
Tanzania,TZA,Regulatory Quality: Estimate,RQ.EST,-0.46234917640686,-0.449195504188538,-0.410142123699188,-0.353273868560791,-0.363270282745361,-0.427903473377228,-0.483072638511658,-0.610115170478821,-0.640993356704712,-0.668204069137573,-0.68933516740799,-0.640137732028961,-0.563533365726471,-0.588394701480865
Tanzania,TZA,Rule of Law: Estimate,RL.EST,-0.486346453428268,-0.514893710613251,-0.537633419036865,-0.477349400520325,-0.401008069515228,-0.395599663257599,-0.396327495574951,-0.470542252063751,-0.573051035404205,-0.567784249782562,-0.615206003189087,-0.551462709903717,-0.462281912565231,-0.373498290777206
Uganda,UGA,Government Effectiveness: Estimate,GE.EST,-0.572281301021576,-0.559457004070282,-0.5962153673172,-0.611745774745941,-0.540372133255005,-0.575544655323029,-0.632310152053833,-0.632979094982147,-0.692296266555786,-0.648660719394684,-0.616496086120605,-0.600672364234924,-0.605068683624268,-0.549508571624756
Uganda,UGA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.00055825710297,-0.976101815700531,-0.868966519832611,-0.838690638542175,-0.9411261677742,-0.804575800895691,-0.71827632188797,-0.569948732852936,-0.701696455478668,-0.694263935089111,-0.811038911342621,-0.937758684158325,-0.711015820503235,-0.69550609588623
Uganda,UGA,Regulatory Quality: Estimate,RQ.EST,-0.201333165168762,-0.176683008670807,-0.262373745441437,-0.27647203207016,-0.256649404764175,-0.319013208150864,-0.272560328245163,-0.263932079076767,-0.286415815353394,-0.414516240358353,-0.482214450836182,-0.490780681371689,-0.490339338779449,-0.517365336418152
Uganda,UGA,Rule of Law: Estimate,RL.EST,-0.396869570016861,-0.359688609838486,-0.356279820203781,-0.346414089202881,-0.394638538360596,-0.414233267307281,-0.270557135343552,-0.319180428981781,-0.321189671754837,-0.3454310297966,-0.345574200153351,-0.369334876537323,-0.374034941196442,-0.474925845861435
Zambia,ZMB,Government Effectiveness: Estimate,GE.EST,-0.862070262432098,-0.682568550109863,-0.509467363357544,-0.520099937915802,-0.534005224704742,-0.643124341964722,-0.737501263618469,-0.70034521818161,-0.653517723083496,-0.741789400577545,-0.824682414531708,-0.840983033180237,-0.638017058372498,-0.658970057964325
Zambia,ZMB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.515351355075836,0.509773790836334,0.660962522029877,0.435933291912079,0.156212016940117,0.144709780812263,0.132928282022476,0.142043307423592,0.0826330557465553,-0.116989657282829,-0.13097919523716,0.0524137951433659,0.161331877112389,0.201727285981178
Zambia,ZMB,Regulatory Quality: Estimate,RQ.EST,-0.524832308292389,-0.467423737049103,-0.444079786539078,-0.494722932577133,-0.533904850482941,-0.495386928319931,-0.539625227451324,-0.516228199005127,-0.527298510074615,-0.613412022590637,-0.687793910503387,-0.570348262786865,-0.529057919979095,-0.49810004234314
Zambia,ZMB,Rule of Law: Estimate,RL.EST,-0.496428072452545,-0.456424236297607,-0.360225439071655,-0.262149602174759,-0.22469437122345,-0.242757827043533,-0.31230565905571,-0.339934676885605,-0.358306616544724,-0.473075270652771,-0.648217260837555,-0.606375992298126,-0.517023503780365,-0.529127418994904
Bhutan,BTN,Government Effectiveness: Estimate,GE.EST,0.609069526195526,0.691294491291046,0.542693614959717,0.420869916677475,0.293826997280121,0.420701026916504,0.498982816934586,0.562770962715149,0.284297674894333,0.253064602613449,0.305567264556885,0.710913896560669,0.56129378080368,0.566305339336395
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.742221653461456,0.826495349407196,0.776309490203857,0.784624874591827,1.06803858280182,0.960772633552551,1.1060882806778,1.1027946472168,1.07766103744507,1.06547141075134,1.01348912715912,0.797255098819733,1.00934255123138,0.982800424098969
Bhutan,BTN,Regulatory Quality: Estimate,RQ.EST,-1.15894365310669,-1.15420484542847,-1.09300851821899,-1.08675539493561,-1.01474559307098,-0.73503041267395,-0.691017687320709,-0.341520547866821,-0.376959830522537,-0.359623849391937,-0.330750852823257,-0.405656158924103,-0.381970435380936,-0.401030838489532
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.161859259009361,0.205665543675423,0.260953724384308,0.317186415195465,0.417354077100754,0.534871518611908,0.510700881481171,0.626136064529419,0.5483518242836,0.584506988525391,0.576956927776337,0.605341255664825,0.673572778701782,0.667693257331848
Cambodia,KHM,Government Effectiveness: Estimate,GE.EST,-0.96263325214386,-0.872488141059875,-0.821808159351349,-0.914554417133331,-0.698889017105103,-0.742889702320099,-0.741827428340912,-0.695688724517822,-0.599801898002625,-0.623299896717072,-0.450370341539383,-0.474705845117569,-0.351413905620575,-0.305874288082123
Cambodia,KHM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.50098443031311,-0.304419666528702,-0.103577204048634,-0.136436149477959,0.0231748018413782,0.0633481442928314,0.206190809607506,0.0935096517205238,0.110921673476696,-0.0754886493086815,-0.209065958857536,-0.131522253155708,-0.0980230420827866,0.0444938205182552
Cambodia,KHM,Regulatory Quality: Estimate,RQ.EST,-0.491047918796539,-0.591842174530029,-0.355143368244171,-0.352435141801834,-0.439880818128586,-0.549874782562256,-0.493561118841171,-0.521751224994659,-0.536904513835907,-0.609220564365387,-0.6611088514328,-0.686099588871002,-0.709801018238068,-0.684618413448334
Cambodia,KHM,Rule of Law: Estimate,RL.EST,-1.12309193611145,-1.05048811435699,-0.981346189975739,-1.0077155828476,-0.954232573509216,-0.996886312961578,-1.08159899711609,-1.07415091991425,-1.13500821590424,-0.954927742481232,-0.96412593126297,-0.919177949428558,-0.865880906581879,-0.819127440452576
