iso3c,year,country,region,gdppc,tax_gdp,pop,GE,PV,RQ,oda_bio_total,oda_bio_weighted_pc
KGZ,2018,Kyrgyzstan,Europe and Central Asia,1283.5203037417,17.998857013595,6444079,-0.646288573741913,-0.529712080955505,-0.397319167852402,3512300.2,0.5450430076974537
KGZ,2019,Kyrgyzstan,Europe and Central Asia,1421.99927504102,15.9638338680814,6590211,-0.731618404388428,-0.26556807756424,-0.392827451229095,437104.60000000003,0.06632634372404769
KGZ,2020,Kyrgyzstan,Europe and Central Asia,1229.51766602907,14.036328193124,6726596,-0.576322257518768,-0.4557925760746,-0.450061172246933,3789957.4,0.5634287238300025
KGZ,2021,Kyrgyzstan,Europe and Central Asia,1349.99730650542,16.4912602766568,6851224,-0.776387393474579,-0.46646723151207,-0.625227749347687,314097,0.045845384707900366
KGZ,2022,Kyrgyzstan,Europe and Central Asia,1739.72018344174,19.5419794530385,6975220,-0.890511035919189,-0.471610426902771,-0.63258820772171,7316312.2,1.048900565143465
KGZ,2023,Kyrgyzstan,Europe and Central Asia,2138.2221021147798,19.6084664812218,7099750,-0.890727877616882,-0.48121976852417,-0.616720378398895,5003040.199999999,0.7046783619141518
KGZ,2024,Kyrgyzstan,Europe and Central Asia,2420.18542283831,20.3821895007982,7221868,NA,NA,NA,NA,NA
KHM,2010,Cambodia,Asia and the Pacific,NA,NA,NA,-0.96263325214386,-0.50098443031311,-0.491047918796539,33662472.6,NA
KHM,2011,Cambodia,Asia and the Pacific,NA,NA,NA,-0.872488141059875,-0.304419666528702,-0.591842174530029,14515740.600000001,NA
KHM,2012,Cambodia,Asia and the Pacific,1192.80263041673,8.73743328155956,14945085,-0.821808159351349,-0.103577204048634,-0.355143368244171,29778985.200000003,1.992560443784696
KHM,2013,Cambodia,Asia and the Pacific,1305.6600972686,9.28638425469543,15170208,-0.914554417133331,-0.136436149477959,-0.352435141801834,16148794.2,1.0645071049783892
KHM,2014,Cambodia,Asia and the Pacific,1431.56396469993,11.08378844624,15396772,-0.698889017105103,0.0231748018413782,-0.439880818128586,34784849.599999994,2.2592300256183564
KHM,2015,Cambodia,Asia and the Pacific,1547.32010444393,10.8884929321084,15623251,-0.742889702320099,0.0633481442928314,-0.549874782562256,24964070.599999998,1.5978793786261258
KHM,2016,Cambodia,Asia and the Pacific,1675.19555711109,11.1748765236774,15852803,-0.741827428340912,0.206190809607506,-0.493561118841171,11652989.2,0.7350743713903465
KHM,2017,Cambodia,Asia and the Pacific,1826.35391688754,11.9278366151763,16073372,-0.695688724517822,0.0935096517205238,-0.521751224994659,15260957.6,0.9494558826859728
KHM,2018,Cambodia,Asia and the Pacific,2036.67377566578,12.6410723071222,16274522,-0.599801898002625,0.110921673476696,-0.536904513835907,215941710.39999995,13.26869756297604
KHM,2019,Cambodia,Asia and the Pacific,2225.87705485686,14.5706459641918,16481304,-0.623299896717072,-0.0754886493086815,-0.609220564365387,15190518.4,0.92168182808836
KHM,2020,Cambodia,Asia and the Pacific,2081.73914242939,13.2902084670658,16725474,-0.450370341539383,-0.209065958857536,-0.6611088514328,17704525.799999997,1.0585365652417382
KHM,2021,Cambodia,Asia and the Pacific,2167.40324198499,11.9927698915381,16974305,-0.474705845117569,-0.131522253155708,-0.686099588871002,18458864,1.0874591919963734
KHM,2022,Cambodia,Asia and the Pacific,2325.03050040841,13.5187383949089,17201724,-0.351413905620575,-0.0980230420827866,-0.709801018238068,25500965.6,1.4824656877415312
KHM,2023,Cambodia,Asia and the Pacific,2429.74853452838,12.203542053066,17423880,-0.305874288082123,0.0444938205182552,-0.684618413448334,42731345.8,2.452458683140609
KHM,2024,Cambodia,Asia and the Pacific,2627.87969756224,NA,17638801,NA,NA,NA,NA,NA
LKA,2010,Sri Lanka,Asia and the Pacific,NA,NA,NA,-0.201909422874451,-0.94294685125351,-0.248191311955452,109989701.60000001,NA
LKA,2011,Sri Lanka,Asia and the Pacific,NA,NA,NA,-0.109467715024948,-0.724771440029144,-0.131351128220558,1628488,NA
LKA,2012,Sri Lanka,Asia and the Pacific,3327.77613691283,10.1110307052301,21169458,-0.204318970441818,-0.717079222202301,-0.125741094350815,3166128.6,0.14956115550998048
LKA,2013,Sri Lanka,Asia and the Pacific,3739.43181100202,10.1212570541042,20585000,-0.166648373007774,-0.612895429134369,-0.166235014796257,2362464.4000000004,0.11476630556230266
LKA,2014,Sri Lanka,Asia and the Pacific,3972.04375736464,9.74785981893202,20778000,0.0687629878520966,-0.330464035272598,-0.108953259885311,4377833.4,0.2106956107421311
LKA,2015,Sri Lanka,Asia and the Pacific,4057.7158346231,11.7202648601751,20970000,-0.00596386613324285,0.0831826627254486,-0.0587588995695114,33194799.8,1.5829661325703386
LKA,2016,Sri Lanka,Asia and the Pacific,4149.19190775593,11.4234897702747,21209000,-0.0275178775191307,-0.0113400500267744,-0.123026698827744,127038981.80000001,5.989861935970579
LKA,2017,Sri Lanka,Asia and the Pacific,4398.88828068715,11.6086827347314,21453000,-0.174112945795059,-0.0754480063915253,-0.162278667092323,3699874.6000000006,0.17246420547242813
LKA,2018,Sri Lanka,Asia and the Pacific,4358.56095906047,11.1537606477644,21670000,-0.25662025809288,-0.139304608106613,-0.217681854963303,12923692.599999998,0.5963863682510382
LKA,2019,Sri Lanka,Asia and the Pacific,4081.94772722003,10.9039513327855,21803000,-0.12496567517519,-0.21553660929203,-0.232445597648621,336668.60000000003,0.015441388799706465
LKA,2020,Sri Lanka,Asia and the Pacific,3847.60137695639,7.77529251770974,21919000,-0.079082652926445,-0.089128851890564,-0.225914791226387,4685482.4,0.21376351110908345
LKA,2021,Sri Lanka,Asia and the Pacific,3996.96240014909,7.36992822515173,22156000,-0.115272410213947,-0.376773029565811,-0.389435440301895,4538356.6,0.20483645964975625
LKA,2022,Sri Lanka,Asia and the Pacific,3342.63650253855,7.2772315851375,22181000,-0.391961753368378,-0.80430680513382,-0.65364283323288,8169204.600000001,0.3682973986745413
LKA,2023,Sri Lanka,Asia and the Pacific,3798.89016573011,9.92189093067548,22037000,-0.25227889418602,-0.508541285991669,-0.507761836051941,4987433.6,0.22632089667377592
LKA,2024,Sri Lanka,Asia and the Pacific,4515.56787322732,NA,21916000,NA,NA,NA,NA,NA
MDG,2010,Madagascar,Africa,NA,NA,NA,-0.995213866233826,-0.978338837623596,-0.605530261993408,3077438.8,NA
MDG,2011,Madagascar,Africa,NA,NA,NA,-1.06907939910889,-0.705585896968842,-0.55234831571579,22814865.2,NA
MDG,2012,Madagascar,Africa,493.511162904211,8.36825554307769,23462438,-1.11727750301361,-0.53613698482513406,-0.576099574565887,13781567.200000001,0.5873885399292265
MDG,2013,Madagascar,Africa,515.301589361832,8.78559177293247,24109290,-1.14748251438141,-0.659993410110474,-0.659140110015869,27362077.000000004,1.134918406970923
MDG,2014,Madagascar,Africa,505.684922503435,8.44113338214288,24764348,-1.32273769378662,-0.557235836982727,-0.716764986515045,29889741,1.2069666037644116
MDG,2015,Madagascar,Africa,445.320069480568,8.94531037344997,25426702,-1.33208250999451,-0.427762925624847,-0.809338331222534,59101047.6,2.3243693814478967
MDG,2016,Madagascar,Africa,453.970714522463,9.24485187325721,26099952,-1.22864735126495,-0.294186472892761,-0.735103726387024,23292950,0.8924518328616083
MDG,2017,Madagascar,Africa,491.866848718929,10.027544731164,26788375,-1.19451534748077,-0.302837282419205,-0.736412763595581,131584578.2,4.912002993835945
MDG,2018,Madagascar,Africa,500.45718552916,10.2831286802146,27494926,-1.21214354038239,-0.578798413276672,-0.785894691944122,73212524.6,2.662764926154011
MDG,2019,Madagascar,Africa,499.818837622534,10.5318646220852,28219554,-1.19339692592621,-0.313957303762436,-0.788889169692993,20079543.4,0.7115471562732706
MDG,2020,Madagascar,Africa,450.771615201509,9.52072872460036,28953556,-1.05303573608398,-0.509334743022919,-0.811572015285492,54860891,1.894789399961787
MDG,2021,Madagascar,Africa,483.469463351195,10.381196752261,29691083,-1.02791666984558,-0.542262673377991,-0.836634576320648,83557187.2,2.814218235151611
MDG,2022,Madagascar,Africa,503.51453347296,9.24054268135003,30437261,-0.972033023834229,-0.480796605348587,-0.815499842166901,59639985.400000006,1.959439957491576
MDG,2023,Madagascar,Africa,508.718427705591,9.61487095893803,31195932,-1.02277612686157,-0.690745651721954,-0.799546599388123,90240773.2,2.8927096391927
MDG,2024,Madagascar,Africa,544.987501003384,NA,31964956,NA,NA,NA,NA,NA
MEX,2010,Mexico,Latin America and Caribbean,NA,NA,NA,0.0962913855910301,-0.726463437080383,0.156337782740593,23044358,NA
MEX,2011,Mexico,Latin America and Caribbean,NA,NA,NA,0.25232720375061,-0.667768597602844,0.184377461671829,36368531,NA
MEX,2012,Mexico,Latin America and Caribbean,10744.1335242686,9.35241106341689,116818208,0.296199023723602,-0.662454187870026,0.418743193149567,121274516.4,1.0381473785319495
MEX,2013,Mexico,Latin America and Caribbean,11216.8008505428,9.88361012510879,118343573,0.302350997924805,-0.714223802089691,0.418155193328857,20335658.4,0.17183576500601344
MEX,2014,Mexico,Latin America and Caribbean,11391.3773497683,10.2428550413982,119784261,0.133970901370049,-0.853918790817261,0.359438210725784,22902235.200000003,0.19119569640288553
MEX,2015,Mexico,Latin America and Caribbean,10021.2386118827,12.3459757826962,121072306,0.117517560720444,-0.801780104637146,0.276325017213821,14837648.2,0.1225519583314123
MEX,2016,Mexico,Latin America and Caribbean,9097.92397674769,13.1237856088608,122251351,0.0276105776429176,-0.633718132972717,0.199013441801071,25314207.2,0.20706689122805685
MEX,2017,Mexico,Latin America and Caribbean,9649.27816772402,12.6874317266309,123400057,-0.0653025507926941,-0.806419789791107,0.182068794965744,275029833.6,2.2287658554323038
MEX,2018,Mexico,Latin America and Caribbean,10084.7937562021,12.7121572965033,124573711,-0.292850613594055,-0.673847019672394,0.0843754634261131,63938763.6,0.5132604871986193
MEX,2019,Mexico,Latin America and Caribbean,10369.555358527101,12.7877486080424,125762982,-0.306684851646423,-0.841869175434113,0.0125951962545514,19545582,0.15541601899993115
MEX,2020,Mexico,Latin America and Caribbean,8841.27075039868,13.8975134533104,126799054,-0.27033868432045,-0.791455745697021,-0.0129100447520614,22641453.6,0.1785616917930634
MEX,2021,Mexico,Latin America and Caribbean,10314.0506722115,13.4112621210704,127648148,-0.3435437977314,-0.687615871429443,-0.251374453306198,327555134.8,2.566078238753609
MEX,2022,Mexico,Latin America and Caribbean,11405.7940473759,13.4041093602603,128613117,-0.281723529100418,-0.689268112182617,-0.148309499025345,54392352.2,0.42291450101469824
